Station,X,Y,Z,Dimension,Value,Unit
3066,-22.528086,34.751998,0.003361,,NA,
3067,-22.464319,34.793455,0.003015,,NA,
3068,-22.400476,34.834795,0.003288,,NA,
3069,-22.336557,34.876016,0.003386,,NA,
3070,-22.272562,34.917121,0.003306,,NA,
3071,-22.208491,34.958107,0.003788,,NA,
3072,-22.144346,34.998976,0.002929,,NA,
3073,-22.080125,35.039727,0.002841,,NA,
3074,-22.01583,35.080359,0.002649,,NA,
3075,-21.95146,35.120874,0.003132,,NA,
3076,-21.887015,35.161269,0.001509,,NA,
3077,-21.822496,35.201547,0.003086,,NA,
3078,-21.757904,35.241705,0.003336,,NA,
3079,-21.693238,35.281745,0.003314,,NA,
3080,-21.628498,35.321665,0.004121,,NA,
3081,-21.563685,35.361467,0.003999,,NA,
3082,-21.498798,35.401149,0.004791,,NA,
3083,-21.433839,35.440712,0.002837,,NA,
3084,-21.368808,35.480156,0.003484,,NA,
3085,-21.303704,35.51948,0.003505,,NA,
3086,-21.238527,35.558684,0.003679,,NA,
3087,-21.173279,35.597768,0.003075,,NA,
3088,-21.107959,35.636732,0.003452,,NA,
3089,-21.042567,35.675576,0.00327,,NA,
3090,-20.977104,35.714299,0.005819,,NA,
3091,-20.91157,35.752903,0.005521,,NA,
3092,-20.845966,35.791385,0.003741,,NA,
3093,-20.78029,35.829747,0.003628,,NA,
3094,-20.714544,35.867988,0.004326,,NA,
3095,-20.648728,35.906108,0.004693,,NA,
3096,-20.582842,35.944107,0.005047,,NA,
3097,-20.516886,35.981985,0.004964,,NA,
3098,-20.45086,36.019741,0.004889,,NA,
3099,-20.384766,36.057376,0.004946,,NA,
3100,-20.318602,36.09489,0.007143,,NA,
3101,-20.252369,36.132281,0.007153,,NA,
3102,-20.186068,36.169551,0.006812,,NA,
3103,-20.119698,36.206699,0.006495,,NA,
3104,-20.05326,36.243725,0.005487,,NA,
3105,-19.986754,36.280628,0.005456,,NA,
3106,-19.92018,36.317409,0.006017,,NA,
3107,-19.853539,36.354068,0.005934,,NA,
3108,-19.786831,36.390604,0.006513,,NA,
3109,-19.720055,36.427018,0.006761,,NA,
3110,-19.653213,36.463308,0.007991,,NA,
3111,-19.586304,36.499476,0.006867,,NA,
3112,-19.519328,36.53552,0.007122,,NA,
3113,-19.452286,36.571441,0.005494,,NA,
3114,-19.385179,36.607239,0.00494,,NA,
3115,-19.318006,36.642913,0.005419,,NA,
3116,-19.250767,36.678464,0.005369,,NA,
3117,-19.183463,36.713891,0.006054,,NA,
3118,-19.116094,36.749195,0.006913,,NA,
3119,-19.04866,36.784374,0.006102,,NA,
3120,-18.981162,36.819429,0.008359,,NA,
3121,-18.913599,36.854361,0.007307,,NA,
3122,-18.845972,36.889167,0.00714,,NA,
3123,-18.778281,36.92385,0.006523,,NA,
3124,-18.710527,36.958408,0.00561,,NA,
3125,-18.642709,36.992841,0.0059,,NA,
3126,-18.574828,37.027149,0.006683,,NA,
3127,-18.506884,37.061333,0.006879,,NA,
3128,-18.438877,37.095392,0.006194,,NA,
3129,-18.370808,37.129325,0.005811,,NA,
3130,-18.302677,37.163134,0.005689,,NA,
3131,-18.234483,37.196817,0.006281,,NA,
3132,-18.166228,37.230374,0.005909,,NA,
3133,-18.097911,37.263806,0.006512,,NA,
3134,-18.029532,37.297112,0.005567,,NA,
3135,-17.961093,37.330293,0.005759,,NA,
3136,-17.892592,37.363347,0.007354,,NA,
3137,-17.824031,37.396276,0.007004,,NA,
3138,-17.75541,37.429078,0.006978,,NA,
3139,-17.686728,37.461755,0.006188,,NA,
3140,-17.617986,37.494304,0.00648,,NA,
3141,-17.549185,37.526728,0.004977,,NA,
3142,-17.480324,37.559025,0.004535,,NA,
3143,-17.411404,37.591195,0.005871,,NA,
3144,-17.342425,37.623238,0.007945,,NA,
3145,-17.273387,37.655155,0.008036,,NA,
3146,-17.20429,37.686944,0.0094,,NA,
3147,-17.135135,37.718606,0.009234,,NA,
3148,-17.065922,37.750142,0.007105,,NA,
3149,-16.996651,37.781549,0.005397,,NA,
3150,-16.927323,37.81283,0.004801,,NA,
3151,-16.857937,37.843983,0.004768,,NA,
3152,-16.788494,37.875008,0.005498,,NA,
3153,-16.718994,37.905905,0.006328,,NA,
3154,-16.649437,37.936675,0.00789,,NA,
3155,-16.579824,37.967317,0.007405,,NA,
3156,-16.510154,37.99783,0.007972,,NA,
3157,-16.440429,38.028216,0.007773,,NA,
3158,-16.370648,38.058473,0.00615,,NA,
3159,-16.300811,38.088602,0.00455,,NA,
3160,-16.230919,38.118602,0.006471,,NA,
3161,-16.160972,38.148474,0.004259,,NA,
3162,-16.09097,38.178217,0.004081,,NA,
3163,-16.020914,38.207831,0.00414,,NA,
3164,-15.950803,38.237317,0.006187,,NA,
3165,-15.880638,38.266673,0.006066,,NA,
3166,-15.81042,38.295901,0.00716,,NA,
3167,-15.740147,38.324999,0.005912,,NA,
3168,-15.669822,38.353968,0.005225,,NA,
3169,-15.599443,38.382808,0.005131,,NA,
3170,-15.529011,38.411518,0.005319,,NA,
3171,-15.458527,38.440099,0.005721,,NA,
3172,-15.38799,38.46855,0.005783,,NA,
3173,-15.317401,38.496871,0.006076,,NA,
3174,-15.24676,38.525062,0.005743,,NA,
3175,-15.176067,38.553124,0.006892,,NA,
3176,-15.105323,38.581055,0.00659,,NA,
3177,-15.034527,38.608856,0.007071,,NA,
3178,-14.963681,38.636527,0.005147,,NA,
3179,-14.892783,38.664068,0.005863,,NA,
3180,-14.821836,38.691479,0.006153,,NA,
3181,-14.750838,38.718758,0.005905,,NA,
3182,-14.67979,38.745908,0.004868,,NA,
3183,-14.608692,38.772926,0.004706,,NA,
3184,-14.537544,38.799814,0.005021,,NA,
3185,-14.466347,38.826571,0.004878,,NA,
3186,-14.395102,38.853197,0.007867,,NA,
3187,-14.323807,38.879691,0.006867,,NA,
3188,-14.252464,38.906055,0.00564,,NA,
3189,-14.181072,38.932288,0.003456,,NA,
3190,-14.109632,38.958389,0.003786,,NA,
3191,-14.038145,38.984359,0.004188,,NA,
3192,-13.966609,39.010197,0.004814,,NA,
3193,-13.895027,39.035904,0.003999,,NA,
3194,-13.823397,39.061479,0.003128,,NA,
3195,-13.75172,39.086922,0.003777,,NA,
3196,-13.679997,39.112233,0.005783,,NA,
3197,-13.608227,39.137413,0.007614,,NA,
3198,-13.536411,39.16246,0.005689,,NA,
3199,-13.464549,39.187376,0.007813,,NA,
3200,-13.392642,39.212159,0.007869,,NA,
3201,-13.320689,39.23681,0.004402,,NA,
3202,-13.24869,39.261328,0.006408,,NA,
3203,-13.176647,39.285714,0.005247,,NA,
3204,-13.104559,39.309968,0.005615,,NA,
3205,-13.032427,39.334089,0.006917,,NA,
3206,-12.96025,39.358077,0.005144,,NA,
3207,-12.88803,39.381933,0.00604,,NA,
3208,-12.815765,39.405656,0.004541,,NA,
3209,-12.743457,39.429246,0.004187,,NA,
3210,-12.671106,39.452702,0.006237,,NA,
3211,-12.598712,39.476026,0.00464,,NA,
3212,-12.526275,39.499217,0.004685,,NA,
3213,-12.453796,39.522274,0.005323,,NA,
3214,-12.381274,39.545198,0.00411,,NA,
3215,-12.30871,39.567989,0.005158,,NA,
3216,-12.236105,39.590646,0.0058,,NA,
3217,-12.163458,39.61317,0.006399,,NA,
3218,-12.090769,39.63556,0.00509,,NA,
3219,-12.01804,39.657816,0.004345,,NA,
3220,-11.94527,39.679939,0.008189,,NA,
3221,-11.872459,39.701927,0.006009,,NA,
3222,-11.799608,39.723782,0.006532,,NA,
3223,-11.726717,39.745503,0.007195,,NA,
3224,-11.653786,39.76709,0.00731,,NA,
3225,-11.580815,39.788542,0.007432,,NA,
3226,-11.507806,39.80986,0.00596,,NA,
3227,-11.434757,39.831045,0.004669,,NA,
3228,-11.361669,39.852094,0.004361,,NA,
